setup_id,specialized_ticker,direction,description,signal_ids,oos_first_trigger,oos_last_trigger,oos_days_since_last_trigger,oos_total_trades,oos_open_trades,oos_sum_pnl_dollars,oos_final_nav,oos_nav_total_return_pct,expectancy,source_run
SETUP_0564,MSTR US Equity,long,AMD US Equity_EV__EV_top_tier_dominance_share is_high AND GOOGL US Equity_EV__EV_top_tier_dominance_share is_high,"SIG_03627, SIG_03387",2024-09-05,2025-09-04,0,40,1,1379497.5733,1479497.5733,1379.4976,49937.9748,run_seed44_20250906_183803
SETUP_0494,TSLA US Equity,long,QQQ US Equity_px_range_polarity_z_60d is_high AND AMD US Equity_px_range_polarity_z_60d is_high,"SIG_00504, SIG_01143",2023-04-11,2025-09-03,1,45,1,1169324.7603,1269324.7603,1169.3248,30957.4924,run_seed44_20250906_183803
SETUP_0180,TSLA US Equity,long,AMZN US Equity_sent.news_heat_tail_21 is_high AND QQQ US Equity_px_range_polarity_z_60d is_high,"SIG_00414, SIG_00504",2022-07-15,2025-09-03,1,29,1,934084.2299,1034084.2299,934.0842,59490.78,run_seed44_20250906_183803
SETUP_0138,TSLA US Equity,long,RTY Index_opt.pcr_z_21 is_high AND GOOGL US Equity_inter.2s10s_slope_mom_21 is_high,"SIG_01811, SIG_00739",2021-10-20,2025-09-04,0,45,1,861856.3126,961856.3126,861.8563,48668.2028,run_seed44_20250906_183803
SETUP_0312,MSTR US Equity,long,GOOGL US Equity_options_total_volume_spike_z_30d is_high AND GOOGL US Equity_inter.2s10s_slope_mom_21 is_high,"SIG_00681, SIG_00739",2024-07-08,2025-09-04,0,13,1,750942.7594,850942.7594,750.9428,206308.9983,run_seed44_20250906_183803
SETUP_0483,TSLA US Equity,long,AMZN US Equity_sent.news_heat_tail_21 is_high AND QQQ US Equity_px_range_polarity_z_60d is_high,"SIG_00414, SIG_00504",2023-04-03,2025-09-03,1,22,1,686423.1644,786423.1644,686.4232,53239.8765,run_seed44_20250906_183803
SETUP_0486,TSLA US Equity,long,QQQ US Equity_px_range_polarity_z_60d is_high AND CRWV US Equity_EV__EV_surprise_dispersion_day is_low,"SIG_00504, SIG_03097",2023-06-13,2025-09-03,1,35,1,622410.7226,722410.7226,622.4107,42843.0731,run_seed44_20250906_183803
SETUP_0581,TSLA US Equity,long,QQQ US Equity_px_range_polarity_z_60d is_high AND AMD US Equity_px_range_polarity_z_60d is_high,"SIG_00504, SIG_01143",2024-09-02,2025-09-03,1,18,1,586206.0574,686206.0574,586.2061,28658.1749,run_seed44_20250906_183803
SETUP_0348,MSTR US Equity,long,USGG10YR Index_vs_SPY US Equity_corr_delta_fisher_20_60_z_60d is_low AND GOOGL US Equity_options_total_volume_spike_z_30d is_high,"SIG_02889, SIG_00681",2024-02-29,2025-09-04,0,16,1,580065.2596,680065.2596,580.0653,206308.9983,run_seed44_20250906_183803
SETUP_0531,TSLA US Equity,long,AMZN US Equity_sent.news_heat_tail_21 is_high AND QQQ US Equity_px_range_polarity_z_60d is_high,"SIG_00414, SIG_00504",2024-01-18,2025-09-03,1,15,1,577006.7542,677006.7542,577.0068,46489.8988,run_seed44_20250906_183803
